类型,日期,时间,来源,分类,事件,用户,计算机
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,576,chenhui,COMPUTER
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,528,chenhui,COMPUTER
审核成功,2018-9-29,9:57:04,Security,登录/注销 ,552,SYSTEM,COMPUTER
审核成功,2018-9-29,9:57:04,Security,帐户登录 ,680,chenhui,COMPUTER
审核成功,2018-9-29,9:51:10,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:51:10,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,9:51:10,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:46:42,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:46:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,9:46:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,9:25:38,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,9:25:38,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,9:25:38,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:59:12,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:59:12,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:12,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:12,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:58:07,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:57:06,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:57:06,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:40:18,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:40:18,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:38:33,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:38:33,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:32:03,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:32:03,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,8:22:03,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:22:03,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,8:22:03,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,8:16:48,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:55:45,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:55:45,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,7:55:45,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,7:41:29,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:41:29,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:14:03,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,7:14:03,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:51:35,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:51:35,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:50:32,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:50:32,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:49:05,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:09:01,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:09:01,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,6:09:01,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,6:08:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:08:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,6:01:17,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:40:14,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:40:14,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,5:40:14,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:32:12,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:28:02,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:28:02,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:24:46,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:24:46,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:19:01,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:19:01,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:11:08,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:11:08,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,5:11:08,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,5:05:05,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,5:05:05,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,4:30:47,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,4:01:48,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,4:01:48,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:58:43,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:58:43,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,3:58:43,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:50:21,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:40:11,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:40:11,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:35:23,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:35:23,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,3:29:18,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:29:18,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,3:29:18,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,3:29:02,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:57:53,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:57:53,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:50:56,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:50:56,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,2:50:56,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:48:44,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:41:52,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:41:52,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,2:27:41,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:27:41,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,2:27:41,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,2:10:10,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:49:10,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:49:10,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-29,1:49:10,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,1:34:46,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,1:34:46,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,1:27:28,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,1:27:28,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,0:23:20,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-29,0:14:47,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-29,0:14:47,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:58:41,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:58:41,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:36:16,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:36:16,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:24:32,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:24:32,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,23:08:14,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,23:08:14,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,23:08:14,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,22:56:14,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,22:56:14,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,22:45:21,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,22:45:21,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,22:20:14,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,22:13:15,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,22:13:15,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,21:35:51,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,21:35:51,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,21:14:09,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,21:14:09,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,21:14:09,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,21:08:24,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,20:48:12,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,20:48:12,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,20:13:17,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,20:13:17,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,20:13:17,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,20:10:23,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,20:09:06,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,20:09:06,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,20:04:34,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,20:04:34,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:49:20,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,19:49:20,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,19:49:20,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,19:40:55,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:40:55,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:28:26,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,19:25:32,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:25:32,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:09:26,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:09:26,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:04:23,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:04:23,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,19:00:22,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,19:00:22,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,19:00:22,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,18:56:16,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,18:56:16,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,18:55:39,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,18:55:39,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,18:21:27,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,18:18:15,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,18:18:15,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,17:53:24,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,17:53:24,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,17:53:24,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,17:53:00,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,17:33:32,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,17:33:32,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,17:30:56,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,17:30:56,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,17:30:56,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,17:24:42,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,16:52:31,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,16:52:31,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,16:47:39,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,16:47:39,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,16:47:39,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,16:41:55,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,16:25:13,Security,登录/注销 ,683,SYSTEM,COMPUTER
审核成功,2018-9-28,16:08:38,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,16:08:38,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,15:53:06,Security,登录/注销 ,682,SYSTEM,COMPUTER
审核成功,2018-9-28,15:31:51,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,15:31:51,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,15:31:51,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,15:31:16,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,14:53:12,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,14:53:12,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,14:53:12,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,14:49:42,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,14:49:42,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,14:47:05,Security,登录/注销 ,683,SYSTEM,COMPUTER
审核成功,2018-9-28,14:27:16,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,14:18:06,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,14:18:06,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,14:02:51,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,14:02:51,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:50:57,Security,登录/注销 ,682,SYSTEM,COMPUTER
审核成功,2018-9-28,13:50:57,Security,登录/注销 ,683,SYSTEM,COMPUTER
审核成功,2018-9-28,13:50:11,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:50:11,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:33:12,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,13:33:12,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,13:33:12,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,13:26:44,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,13:19:29,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:19:29,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:19:10,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:19:10,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:17:29,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:17:29,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,13:01:41,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,13:01:41,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,13:01:41,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,12:57:27,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,12:41:03,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,12:41:03,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,12:29:02,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,12:29:02,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,12:22:23,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,12:22:23,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,12:22:23,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,12:16:04,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,11:41:55,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,11:41:55,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,11:41:55,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,10:32:48,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,10:24:13,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:24:13,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:11:39,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:11:39,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:01:39,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:01:39,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:00:20,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,10:00:20,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,9:52:44,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,9:52:44,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,9:52:44,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,9:49:41,Security,登录/注销 ,538,Administrator,COMPUTER
审核成功,2018-9-28,9:49:40,Security,登录/注销 ,682,SYSTEM,COMPUTER
审核成功,2018-9-28,9:49:40,Security,登录/注销 ,576,Administrator,COMPUTER
审核成功,2018-9-28,9:49:40,Security,登录/注销 ,528,Administrator,COMPUTER
审核成功,2018-9-28,9:49:40,Security,登录/注销 ,552,SYSTEM,COMPUTER
审核成功,2018-9-28,9:49:40,Security,帐户登录 ,680,Administrator,COMPUTER
审核成功,2018-9-28,9:37:18,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,9:37:18,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,9:26:10,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,9:26:10,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,9:02:05,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,8:47:08,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:47:08,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:46:22,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:46:22,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:30:56,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,8:30:56,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,8:30:56,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,8:09:52,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,8:09:14,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:09:14,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:00:21,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,8:00:21,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,7:48:52,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,7:48:52,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,7:48:52,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,7:44:35,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,7:44:35,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,7:28:48,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,7:28:48,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,6:14:30,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,5:53:27,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,5:53:27,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,5:53:27,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,5:26:10,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,5:05:07,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,5:05:07,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,5:05:07,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:45:43,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:24:43,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:24:43,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,4:24:43,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:24:33,Security,登录/注销 ,538,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:03:33,Security,登录/注销 ,540,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,4:03:33,Security,登录/注销 ,552,NETWORK SERVICE,COMPUTER
审核成功,2018-9-28,4:03:33,Security,帐户登录 ,680,IUSR_COMPUTER,COMPUTER
审核成功,2018-9-28,3:58:51,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,3:58:51,Security,登录/注销 ,540,ANONYMOUS LOGON,COMPUTER
审核成功,2018-9-28,3:11:52,Security,登录/注销 ,538,ANONYMOUS LOGON,COMPUTER
