date,connect time,close time,use time,user,ip,port
09-21,21:00:02,21:01:04,0:1:2,root,192.168.17.1,5520
09-21,21:01:05,00:00:00,0:0:0,root,192.168.17.1,5522
09-21,21:18:31,00:00:00,0:0:0,chenhui,192.168.17.1,5589
